Time: 1595178144.5586762, Messages: 0, Members Joined: 0
Time: 1595178154.5643315, Messages: 1, Members Joined: 0
Time: 1595178164.5827122, Messages: 1, Members Joined: 0
Time: 1595178174.6014972, Messages: 0, Members Joined: 0
Time: 1595178184.6120267, Messages: 0, Members Joined: 0
Time: 1595178194.6814687, Messages: 0, Members Joined: 0
Time: 1595178204.7009666, Messages: 0, Members Joined: 0
Time: 1595178214.7312617, Messages: 4, Members Joined: 0
Time: 1595178224.7731261, Messages: 2, Members Joined: 0
Time: 1595178234.7780557, Messages: 4, Members Joined: 0
Time: 1595178244.794485, Messages: 3, Members Joined: 0
Time: 1595178254.8238323, Messages: 1, Members Joined: 0
Time: 1595178264.848586, Messages: 1, Members Joined: 0
Time: 1595178274.8718932, Messages: 0, Members Joined: 0
Time: 1595178284.902358, Messages: 0, Members Joined: 0
Time: 1595178294.9293773, Messages: 0, Members Joined: 0
Time: 1595178304.936893, Messages: 0, Members Joined: 0
Time: 1595178314.9641576, Messages: 2, Members Joined: 0
Time: 1595178324.9759915, Messages: 0, Members Joined: 0
Time: 1595178335.018489, Messages: 1, Members Joined: 0
Time: 1595178345.0358403, Messages: 0, Members Joined: 0
Time: 1595351860.252426, Messages: 1, Members Joined: 0
Time: 1595351870.3267627, Messages: 1, Members Joined: 0
Time: 1595351880.3267686, Messages: 0, Members Joined: 0
Time: 1595351890.3221538, Messages: 0, Members Joined: 0
Time: 1595351900.330334, Messages: 2, Members Joined: 0
Time: 1595351910.3430738, Messages: 4, Members Joined: 0
Time: 1595351920.3540554, Messages: 2, Members Joined: 0
Time: 1595351930.3966713, Messages: 3, Members Joined: 0
Time: 1595351940.4083657, Messages: 1, Members Joined: 0
Time: 1595351950.4224713, Messages: 2, Members Joined: 0
Time: 1595351960.4403698, Messages: 0, Members Joined: 0
Time: 1595351988.5115814, Messages: 0, Members Joined: 0
Time: 1595351998.5898, Messages: 4, Members Joined: 0
Time: 1595352008.594523, Messages: 2, Members Joined: 0
Time: 1595352018.6169498, Messages: 2, Members Joined: 0
Time: 1595352028.6253283, Messages: 2, Members Joined: 0
Time: 1595352038.6443229, Messages: 0, Members Joined: 0
Time: 1595352048.661248, Messages: 0, Members Joined: 0
Time: 1595352058.705213, Messages: 0, Members Joined: 0
Time: 1595352068.7179298, Messages: 0, Members Joined: 0
Time: 1595352078.738163, Messages: 0, Members Joined: 0
Time: 1595352088.8781621, Messages: 0, Members Joined: 0
Time: 1595352098.9023304, Messages: 0, Members Joined: 0
Time: 1595352109.039856, Messages: 0, Members Joined: 0
Time: 1595352119.1058502, Messages: 0, Members Joined: 0
Time: 1595352129.144665, Messages: 0, Members Joined: 0
Time: 1595352139.1919005, Messages: 0, Members Joined: 0
Time: 1595352149.2812188, Messages: 0, Members Joined: 0
Time: 1595352159.3298154, Messages: 0, Members Joined: 0
Time: 1595352169.3774226, Messages: 2, Members Joined: 0
Time: 1595352179.4304812, Messages: 0, Members Joined: 0
Time: 1595352189.4599948, Messages: 1, Members Joined: 0
Time: 1595352199.5069613, Messages: 0, Members Joined: 0
Time: 1595352209.593692, Messages: 0, Members Joined: 0
Time: 1595352219.7422893, Messages: 1, Members Joined: 0
Time: 1595352229.8770483, Messages: 0, Members Joined: 0
Time: 1595352239.8825226, Messages: 0, Members Joined: 0
Time: 1595352249.902859, Messages: 0, Members Joined: 0
Time: 1595352259.9146473, Messages: 0, Members Joined: 0
Time: 1595352269.9280236, Messages: 0, Members Joined: 0
Time: 1595352280.0036917, Messages: 0, Members Joined: 0
Time: 1595352291.2161298, Messages: 0, Members Joined: 0
Time: 1595352301.2851675, Messages: 1, Members Joined: 0
Time: 1595352311.3064072, Messages: 0, Members Joined: 0
Time: 1595352321.3065221, Messages: 0, Members Joined: 0
Time: 1595352331.3091762, Messages: 0, Members Joined: 0
Time: 1595352341.3225794, Messages: 0, Members Joined: 0
Time: 1595352351.3316352, Messages: 0, Members Joined: 0
Time: 1595352361.389314, Messages: 0, Members Joined: 0
Time: 1595352371.479419, Messages: 0, Members Joined: 0
Time: 1595352381.5147452, Messages: 0, Members Joined: 0
Time: 1595352391.5261385, Messages: 0, Members Joined: 0
Time: 1595352401.5442245, Messages: 0, Members Joined: 0
Time: 1595352411.5655398, Messages: 0, Members Joined: 0
Time: 1595352421.5801747, Messages: 1, Members Joined: 0
Time: 1595352431.5910695, Messages: 0, Members Joined: 0
Time: 1595352441.5854454, Messages: 0, Members Joined: 0
Time: 1595352451.606123, Messages: 0, Members Joined: 0
Time: 1595352461.623786, Messages: 0, Members Joined: 0
Time: 1595352471.662096, Messages: 0, Members Joined: 0
Time: 1595352481.6748843, Messages: 0, Members Joined: 0
